,Data Label,Description
0,DHW_ClothesWasherColdFlow,DHW Flow_Water The cumulative volume of cold water flowing into the clothes washer starting at midnight Gallons
1,DHW_ClothesWasherHotFlow,DHW Flow_Water The cumulative volume of hot water flowing into the clothes washer starting at midnight Gallons
2,DHW_DishwasherHotFlow,DHW Flow_Water The cumulative volume of hot water flowing into the dishwasher starting at midnight Gallons
3,DHW_SHWGlycolTempIn,DHW Temp_Glycol The instantaneous temperature of the glycol-water solution on the inlet side of the heat exchanger of the solar water heating system (from the solar panels) °C
4,DHW_SHWGlycolTempOut,DHW Temp_Glycol The instantaneous temperature of the glycol-water solution on the outlet side of the heat exchanger of the solar water heating system (returning to the solar panels) °C
5,DHW_HeatPumpWaterHeaterEnergyTotal,DHW Energy_Electrical Cumulative energy consumption by heat pump water heater starting from midnight Wh
6,DHW_HeatPumpWaterHeaterPowerTotal,DHW Power_Electrical Instantaneous power consumption by heat pump water heater W
7,DHW_ManifoldColdFlow,DHW Flow_Water The cumulative volume of water flowing into the cold side of the plumbing distribution manifold starting at midnight Gallons
8,DHW_ManifoldHotFlow,DHW Flow_Water The cumulative volume of water flowing into the hot side of the plumbing distribution manifold starting at midnight Gallons
9,DHW_MixValveColdFlow,DHW Flow_Water The cumulative volume of mains water flowing into the mixing valve that is positioned downstream of the solar thermal storage tank starting at midnight Gallons
10,DHW_RoomTempBasementHPWH,DHW Temp_Air The dry bulb air temperature located two feet from the surface of the heat pump water heater at a vertical distance halfway up the tank °C
11,DHW_SHWPumpsEnergywithStandby,DHW Energy_Electrical Cumulative energy consumption by solar water heating system pumps starting from midnight Wh
12,DHW_SHWPumpsPowerwithStandby,DHW Power_Electrical Instantaneous power consumption by solar water heating system pumps W
13,DHW_StatusSolenoidColdMBATub,"DHW Status_OnOff Number to indicate whether cold water is flowing in master bath tub (1: Yes, O: No) "
14,DHW_StatusSolenoidColdMBAShower,"DHW Status_OnOff Number to indicate whether cold water is flowing in master bath shower (1: Yes, O: No) "
15,DHW_StatusSolenoidColdKitchenSink,"DHW Status_OnOff Number to indicate whether cold water is flowing in kitchen sink (1: Yes, O: No) "
16,DHW_StatusSolenoidHotKitchenSink,"DHW Status_OnOff Number to indicate whether hot water is flowing in kitchen sink (1: Yes, O: No)  "
17,DHW_StatusSolenoidHotMBATub,"DHW Status_OnOff Number to indicate whether hot water is flowing in master bath tub (1: Yes, O: No)  "
18,DHW_StatusSolenoidHotMBAShower,"DHW Status_OnOff Number to indicate whether hot water is flowing in master bath shower (1: Yes, O: No)  "
19,DHW_WaterTempBAShowerMixed,DHW Temp_Water The instantaneous temperature of the water in the shower faucet of the bathroom located off the hallway on the second floor after the mixing valve °C
20,DHW_WaterTempBAShwCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the shower in the bathroom located off the hallway on the second floor °C
21,DHW_WaterTempBAShwHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the shower in the bathroom located off the hallway on the second floor °C
22,DHW_WaterTempBASinkCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the sink in the bathroom located off the hallway on the second floor °C
23,DHW_WaterTempBASinkHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the sink in the bathroom located off the hallway on the second floor °C
24,DHW_WaterTempBASinkMixed,DHW Temp_Water The instantaneous temperature of the water in the sink faucet of the bathroom located off the hallway on the second floor after the mixing valve °C
25,DHW_WaterTempDishwasher,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the dishwasher °C
26,DHW_WaterTempHPWHIn,DHW Temp_Water The instantaneous temperature of the water on the inlet side of the heat pump water heater °C
27,DHW_WaterTempHPWHOut,DHW Temp_Water The instantaneous temperature of the water on the exit side of the heat pump water heater °C
28,DHW_WaterTempKSinkCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the kitchen sink °C
29,DHW_WaterTempKSinkHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the kitchen sink °C
30,DHW_WaterTempKSinkMix,DHW Temp_Water The instantaneous temperature of the water in the kitchen sink faucet after the mixing valve °C
31,DHW_WaterTempManifoldColdIn,DHW Temp_Water The instantaneous temperature of the water entering the cold side of the plumbing manifold °C
32,DHW_WaterTempManifoldHotIn,DHW Temp_Water The instantaneous temperature of the water entering the hot side of the plumbing manifold °C
33,DHW_WaterTempMBAShwCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the shower in the Master Bathroom  °C
34,DHW_WaterTempMBAShwHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the shower in the Master Bathroom  °C
35,DHW_WaterTempMBAShwMix,DHW Temp_Water The instantaneous temperature of the water in the master bath shower after the mixing valve °C
36,DHW_WaterTempMBASinkRMixed,DHW Temp_Water The instantaneous temperature of the water in the master bath sink located on the right after the mixing valve °C
37,DHW_WaterTempMBASinkRCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the right sink in the Master Bathroom °C
38,DHW_WaterTempMBASinkRHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the right sink in the Master Bathroom °C
39,DHW_WaterTempMBATubCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the tub in the Master Bathroom  °C
40,DHW_WaterTempMBATubHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the tub in the Master Bathroom  °C
41,DHW_WaterTempMBATubMix,DHW Temp_Water The instantaneous temperature of the water in the tub faucet after the mixing valve °C
42,DHW_WaterTempMixValveColdIn,DHW Temp_Water The instantaneous temperature of the water from the main entering the mixing valve downstream of the solar preheat tank °C
43,DHW_WaterTempMixValveHotIn,DHW Temp_Water The instantaneous temperature of the water from the solar preheat tank entering the mixing valve downstream of that tank °C
44,DHW_WaterTempSHWHX80galIn,DHW Temp_Water The instantaneous temperature of the potable water on the inlet side of the heat exchanger of the solar water heating system (from the storage tank) °C
45,DHW_WaterTempSHWHX80galOut,DHW Temp_Water The instantaneous temperature of the potable water on the exit side of the heat exchanger of the solar water heating system (returning to the storage tank) °C
46,DHW_WaterTempSHWTank80galIn,DHW Temp_Water The instantaneous temperature of the water entering the 80 gallon solar preheat tank °C
47,DHW_WaterTempSHWTank80galOut,DHW Temp_Water The instantaneous temperature of the water leaving the 80 gallon solar preheat tank °C
48,DHW_WaterTempWasherCold,DHW Temp_Water The instantaneous temperature of the water in the cold water line at the clothes washer °C
49,DHW_WaterTempWasherHot,DHW Temp_Water The instantaneous temperature of the water in the hot water line at the clothes washer °C
50,Elec_EnergyHeatPumpWH1of2,DHW Energy_Electrical Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater Wh
51,Elec_EnergyHeatPumpWH2of2,DHW Energy_Electrical Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater Wh
52,Elec_PowerHeatPumpWH1of2,DHW Power_Electrical Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater W
53,Elec_PowerHeatPumpWH2of2,DHW Power_Electrical Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater W
54,Elec_EnergyPlugsBaseAHeliodyneHXs,Elec Energy_Electrical Cumulative energy used by solar water heater pumps from midnight Wh
55,Elec_EnergyPlugsDR,Electrical Energy_Electrical Cumulative energy consumption at receptacles of dining room from midnight Wh
56,Elec_EnergyPlugsBR4,Electrical Energy_Electrical Cumulative energy consumption at receptacles of bedroom 4 from midnight Wh
57,Elec_EnergyPlugsEntryHall,Electrical Energy_Electrical Cumulative energy consumption at receptacles in entry hallway from midnight Wh
58,Elec_EnergyPlugsLR,Electrical Energy_Electrical Cumulative energy consumption at receptacles of living room from midnight Wh
59,Elec_EnergyClothesWasher,Electrical Energy_Electrical Cumulative energy consumption of clothes washer from midnight Wh
60,Elec_EnergyDryer1of2,Electrical Energy_Electrical Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer Wh
61,Elec_EnergyDryer2of2,Electrical Energy_Electrical Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer Wh
62,Elec_EnergyPlugsBaseB,Electrical Energy_Electrical Cumulative energy consumption at receptacle B in basement from midnight Wh
63,Elec_EnergyPlugsBaseC,Electrical Energy_Electrical Cumulative energy consumption at receptacle C in basement from midnight Wh
64,Elec_EnergySumpPump,Electrical Energy_Electrical Cumulative energy consumption of sump pump in basement from midnight Wh
65,Elec_EnergySpare1,Electrical  Energy_Electrical Cumulative energy consumption of standby electrical load in basement from midnight Wh
66,Elec_EnergyPlugsBA1,Electrical Energy_Electrical Cumulative energy consumption at receptacles of bathroom 1 from midnight Wh
67,Elec_EnergyGarbageDisposal,Electrical  Energy_Electrical Cumulative energy consumption by garbage disposal from midnight Wh
68,Elec_EnergyPlugsKitRange,Electrical  Energy_Electrical Cumulative energy consumption by blender from midnight Wh
69,Elec_EnergyPlugsKitPeninsula,Electrical  Energy_Electrical Cumulative energy consumption by hand mixer and can opener from midnight Wh
70,Elec_EnergyMicrowave,Electrical  Energy_Electrical Cumulative energy consumption by microwave oven from midnight Wh
71,Elec_EnergyPlugs2ndFloor,Electrical Energy_Electrical Cumulative energy consumption from receptacles in bathroom 2 from midnight Wh
72,Elec_EnergySpare2,Electrical Energy_Electrical Cumulative energy consumption by computer network hardware in basement from midnight Wh
