ID,Data Label,Description
0,DHW_ClothesWasherColdFlow,DHW_ClothesWasherColdFlow DHW Utility Flow_Water The cumulative volume of cold water flowing into the clothes washer starting at midnight Gallons
1,DHW_ClothesWasherHotFlow,DHW_ClothesWasherHotFlow DHW Utility Flow_Water The cumulative volume of hot water flowing into the clothes washer starting at midnight Gallons
2,DHW_DishwasherHotFlow,DHW_DishwasherHotFlow DHW Kitchen Flow_Water The cumulative volume of hot water flowing into the dishwasher starting at midnight Gallons
3,DHW_SHWGlycolTempIn,DHW_SHWGlycolTempIn DHW Basement Temp_Glycol The instantaneous temperature of the glycol-water solution on the inlet side of the heat exchanger of the solar water heating system (from the solar panels) °C
4,DHW_SHWGlycolTempOut,DHW_SHWGlycolTempOut DHW Basement Temp_Glycol The instantaneous temperature of the glycol-water solution on the outlet side of the heat exchanger of the solar water heating system (returning to the solar panels) °C
5,DHW_HeatPumpWaterHeaterEnergyTotal,DHW_HeatPumpWaterHeaterEnergyTotal DHW Basement Energy_Electrical Cumulative energy consumption by heat pump water heater starting from midnight Wh
6,DHW_HeatPumpWaterHeaterPowerTotal,DHW_HeatPumpWaterHeaterPowerTotal DHW Basement Power_Electrical Instantaneous power consumption by heat pump water heater W
7,DHW_ManifoldColdFlow,DHW_ManifoldColdFlow DHW Basement Flow_Water The cumulative volume of water flowing into the cold side of the plumbing distribution manifold starting at midnight Gallons
8,DHW_ManifoldHotFlow,DHW_ManifoldHotFlow DHW Basement Flow_Water The cumulative volume of water flowing into the hot side of the plumbing distribution manifold starting at midnight Gallons
9,DHW_MixValveColdFlow,DHW_MixValveColdFlow DHW Basement Flow_Water The cumulative volume of mains water flowing into the mixing valve that is positioned downstream of the solar thermal storage tank starting at midnight Gallons
10,DHW_RoomTempBasementHPWH,DHW_RoomTempBasementHPWH DHW Basement Temp_Air The dry bulb air temperature located two feet from the surface of the heat pump water heater at a vertical distance halfway up the tank °C
11,DHW_SHWPumpsEnergywithStandby,DHW_SHWPumpsEnergywithStandby DHW Basement Energy_Electrical Cumulative energy consumption by solar water heating system pumps starting from midnight Wh
12,DHW_SHWPumpsPowerwithStandby,DHW_SHWPumpsPowerwithStandby DHW Basement Power_Electrical Instantaneous power consumption by solar water heating system pumps W
13,DHW_StatusSolenoidColdMBATub,"DHW_StatusSolenoidColdMBATub DHW MBath Status_OnOff Number to indicate whether cold water is flowing in master bath tub (1: Yes, O: No) "
14,DHW_StatusSolenoidColdMBAShower,"DHW_StatusSolenoidColdMBAShower DHW MBath Status_OnOff Number to indicate whether cold water is flowing in master bath shower (1: Yes, O: No) "
15,DHW_StatusSolenoidColdKitchenSink,"DHW_StatusSolenoidColdKitchenSink DHW Kitchen Status_OnOff Number to indicate whether cold water is flowing in kitchen sink (1: Yes, O: No) "
16,DHW_StatusSolenoidHotKitchenSink,"DHW_StatusSolenoidHotKitchenSink DHW Kitchen Status_OnOff Number to indicate whether hot water is flowing in kitchen sink (1: Yes, O: No)  "
17,DHW_StatusSolenoidHotMBATub,"DHW_StatusSolenoidHotMBATub DHW MBath Status_OnOff Number to indicate whether hot water is flowing in master bath tub (1: Yes, O: No)  "
18,DHW_StatusSolenoidHotMBAShower,"DHW_StatusSolenoidHotMBAShower DHW MBath Status_OnOff Number to indicate whether hot water is flowing in master bath shower (1: Yes, O: No)  "
19,DHW_WaterTempBAShowerMixed,DHW_WaterTempBAShowerMixed DHW Bath2 Temp_Water The instantaneous temperature of the water in the shower faucet of the bathroom located off the hallway on the second floor after the mixing valve °C
20,DHW_WaterTempBAShwCold,DHW_WaterTempBAShwCold DHW Bath2 Temp_Water The instantaneous temperature of the water in the cold water line at the shower in the bathroom located off the hallway on the second floor °C
21,DHW_WaterTempBAShwHot,DHW_WaterTempBAShwHot DHW Bath2 Temp_Water The instantaneous temperature of the water in the hot water line at the shower in the bathroom located off the hallway on the second floor °C
22,DHW_WaterTempBASinkCold,DHW_WaterTempBASinkCold DHW Bath2 Temp_Water The instantaneous temperature of the water in the cold water line at the sink in the bathroom located off the hallway on the second floor °C
23,DHW_WaterTempBASinkHot,DHW_WaterTempBASinkHot DHW Bath2 Temp_Water The instantaneous temperature of the water in the hot water line at the sink in the bathroom located off the hallway on the second floor °C
24,DHW_WaterTempBASinkMixed,DHW_WaterTempBASinkMixed DHW Bath2 Temp_Water The instantaneous temperature of the water in the sink faucet of the bathroom located off the hallway on the second floor after the mixing valve °C
25,DHW_WaterTempDishwasher,DHW_WaterTempDishwasher DHW Kitchen Temp_Water The instantaneous temperature of the water in the hot water line at the dishwasher °C
26,DHW_WaterTempHPWHIn,DHW_WaterTempHPWHIn DHW Basement Temp_Water The instantaneous temperature of the water on the inlet side of the heat pump water heater °C
27,DHW_WaterTempHPWHOut,DHW_WaterTempHPWHOut DHW Basement Temp_Water The instantaneous temperature of the water on the exit side of the heat pump water heater °C
28,DHW_WaterTempKSinkCold,DHW_WaterTempKSinkCold DHW Kitchen Temp_Water The instantaneous temperature of the water in the cold water line at the kitchen sink °C
29,DHW_WaterTempKSinkHot,DHW_WaterTempKSinkHot DHW Kitchen Temp_Water The instantaneous temperature of the water in the hot water line at the kitchen sink °C
30,DHW_WaterTempKSinkMix,DHW_WaterTempKSinkMix DHW Kitchen Temp_Water The instantaneous temperature of the water in the kitchen sink faucet after the mixing valve °C
31,DHW_WaterTempManifoldColdIn,DHW_WaterTempManifoldColdIn DHW Basement Temp_Water The instantaneous temperature of the water entering the cold side of the plumbing manifold °C
32,DHW_WaterTempManifoldHotIn,DHW_WaterTempManifoldHotIn DHW Basement Temp_Water The instantaneous temperature of the water entering the hot side of the plumbing manifold °C
33,DHW_WaterTempMBAShwCold,DHW_WaterTempMBAShwCold DHW MBath Temp_Water The instantaneous temperature of the water in the cold water line at the shower in the Master Bathroom  °C
34,DHW_WaterTempMBAShwHot,DHW_WaterTempMBAShwHot DHW MBath Temp_Water The instantaneous temperature of the water in the hot water line at the shower in the Master Bathroom  °C
35,DHW_WaterTempMBAShwMix,DHW_WaterTempMBAShwMix DHW MBath Temp_Water The instantaneous temperature of the water in the master bath shower after the mixing valve °C
36,DHW_WaterTempMBASinkRMixed,DHW_WaterTempMBASinkRMixed DHW MBath Temp_Water The instantaneous temperature of the water in the master bath sink located on the right after the mixing valve °C
37,DHW_WaterTempMBASinkRCold,DHW_WaterTempMBASinkRCold DHW MBath Temp_Water The instantaneous temperature of the water in the cold water line at the right sink in the Master Bathroom °C
