Data Label,Subsystem,Measurement Location,Measured Parameter,Description,Units
DHW_ClothesWasherColdFlow,DHW,Utility,Flow_Water,The cumulative volume of cold water flowing into the clothes washer starting at midnight,Gallons
DHW_ClothesWasherHotFlow,DHW,Utility,Flow_Water,The cumulative volume of hot water flowing into the clothes washer starting at midnight,Gallons
DHW_DishwasherHotFlow,DHW,Kitchen,Flow_Water,The cumulative volume of hot water flowing into the dishwasher starting at midnight,Gallons
DHW_SHWGlycolTempIn,DHW,Basement,Temp_Glycol,The instantaneous temperature of the glycol-water solution on the inlet side of the heat exchanger of the solar water heating system (from the solar panels),°C
DHW_SHWGlycolTempOut,DHW,Basement,Temp_Glycol,The instantaneous temperature of the glycol-water solution on the outlet side of the heat exchanger of the solar water heating system (returning to the solar panels),°C
DHW_HeatPumpWaterHeaterEnergyTotal,DHW,Basement,Energy_Electrical,Cumulative energy consumption by heat pump water heater starting from midnight,Wh
DHW_HeatPumpWaterHeaterPowerTotal,DHW,Basement,Power_Electrical,Instantaneous power consumption by heat pump water heater,W
DHW_ManifoldColdFlow,DHW,Basement,Flow_Water,The cumulative volume of water flowing into the cold side of the plumbing distribution manifold starting at midnight,Gallons
DHW_ManifoldHotFlow,DHW,Basement,Flow_Water,The cumulative volume of water flowing into the hot side of the plumbing distribution manifold starting at midnight,Gallons
DHW_MixValveColdFlow,DHW,Basement,Flow_Water,The cumulative volume of mains water flowing into the mixing valve that is positioned downstream of the solar thermal storage tank starting at midnight,Gallons
DHW_RoomTempBasementHPWH,DHW,Basement,Temp_Air,The dry bulb air temperature located two feet from the surface of the heat pump water heater at a vertical distance halfway up the tank,°C
DHW_SHWPumpsEnergywithStandby,DHW,Basement,Energy_Electrical,Cumulative energy consumption by solar water heating system pumps starting from midnight,Wh
DHW_SHWPumpsPowerwithStandby,DHW,Basement,Power_Electrical,Instantaneous power consumption by solar water heating system pumps,W
DHW_StatusSolenoidColdMBATub,DHW,MBath,Status_OnOff,"Number to indicate whether cold water is flowing in master bath tub (1: Yes, O: No)",
DHW_StatusSolenoidColdMBAShower,DHW,MBath,Status_OnOff,"Number to indicate whether cold water is flowing in master bath shower (1: Yes, O: No)",
DHW_StatusSolenoidColdKitchenSink,DHW,Kitchen,Status_OnOff,"Number to indicate whether cold water is flowing in kitchen sink (1: Yes, O: No)",
DHW_StatusSolenoidHotKitchenSink,DHW,Kitchen,Status_OnOff,"Number to indicate whether hot water is flowing in kitchen sink (1: Yes, O: No) ",
DHW_StatusSolenoidHotMBATub,DHW,MBath,Status_OnOff,"Number to indicate whether hot water is flowing in master bath tub (1: Yes, O: No) ",
DHW_StatusSolenoidHotMBAShower,DHW,MBath,Status_OnOff,"Number to indicate whether hot water is flowing in master bath shower (1: Yes, O: No) ",
DHW_WaterTempBAShowerMixed,DHW,Bath2,Temp_Water,The instantaneous temperature of the water in the shower faucet of the bathroom located off the hallway on the second floor after the mixing valve,°C
DHW_WaterTempBAShwCold,DHW,Bath2,Temp_Water,The instantaneous temperature of the water in the cold water line at the shower in the bathroom located off the hallway on the second floor,°C
DHW_WaterTempBAShwHot,DHW,Bath2,Temp_Water,The instantaneous temperature of the water in the hot water line at the shower in the bathroom located off the hallway on the second floor,°C
DHW_WaterTempBASinkCold,DHW,Bath2,Temp_Water,The instantaneous temperature of the water in the cold water line at the sink in the bathroom located off the hallway on the second floor,°C
DHW_WaterTempBASinkHot,DHW,Bath2,Temp_Water,The instantaneous temperature of the water in the hot water line at the sink in the bathroom located off the hallway on the second floor,°C
DHW_WaterTempBASinkMixed,DHW,Bath2,Temp_Water,The instantaneous temperature of the water in the sink faucet of the bathroom located off the hallway on the second floor after the mixing valve,°C
DHW_WaterTempDishwasher,DHW,Kitchen,Temp_Water,The instantaneous temperature of the water in the hot water line at the dishwasher,°C
DHW_WaterTempHPWHIn,DHW,Basement,Temp_Water,The instantaneous temperature of the water on the inlet side of the heat pump water heater,°C
DHW_WaterTempHPWHOut,DHW,Basement,Temp_Water,The instantaneous temperature of the water on the exit side of the heat pump water heater,°C
DHW_WaterTempKSinkCold,DHW,Kitchen,Temp_Water,The instantaneous temperature of the water in the cold water line at the kitchen sink,°C
DHW_WaterTempKSinkHot,DHW,Kitchen,Temp_Water,The instantaneous temperature of the water in the hot water line at the kitchen sink,°C
DHW_WaterTempKSinkMix,DHW,Kitchen,Temp_Water,The instantaneous temperature of the water in the kitchen sink faucet after the mixing valve,°C
DHW_WaterTempManifoldColdIn,DHW,Basement,Temp_Water,The instantaneous temperature of the water entering the cold side of the plumbing manifold,°C
DHW_WaterTempManifoldHotIn,DHW,Basement,Temp_Water,The instantaneous temperature of the water entering the hot side of the plumbing manifold,°C
DHW_WaterTempMBAShwCold,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the cold water line at the shower in the Master Bathroom ,°C
DHW_WaterTempMBAShwHot,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the hot water line at the shower in the Master Bathroom ,°C
DHW_WaterTempMBAShwMix,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the master bath shower after the mixing valve,°C
DHW_WaterTempMBASinkRMixed,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the master bath sink located on the right after the mixing valve,°C
DHW_WaterTempMBASinkRCold,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the cold water line at the right sink in the Master Bathroom,°C
DHW_WaterTempMBASinkRHot,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the hot water line at the right sink in the Master Bathroom,°C
DHW_WaterTempMBATubCold,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the cold water line at the tub in the Master Bathroom ,°C
DHW_WaterTempMBATubHot,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the hot water line at the tub in the Master Bathroom ,°C
DHW_WaterTempMBATubMix,DHW,MBath,Temp_Water,The instantaneous temperature of the water in the tub faucet after the mixing valve,°C
DHW_WaterTempMixValveColdIn,DHW,Basement,Temp_Water,The instantaneous temperature of the water from the main entering the mixing valve downstream of the solar preheat tank,°C
DHW_WaterTempMixValveHotIn,DHW,Basement,Temp_Water,The instantaneous temperature of the water from the solar preheat tank entering the mixing valve downstream of that tank,°C
DHW_WaterTempSHWHX80galIn,DHW,Basement,Temp_Water,The instantaneous temperature of the potable water on the inlet side of the heat exchanger of the solar water heating system (from the storage tank),°C
DHW_WaterTempSHWHX80galOut,DHW,Basement,Temp_Water,The instantaneous temperature of the potable water on the exit side of the heat exchanger of the solar water heating system (returning to the storage tank),°C
DHW_WaterTempSHWTank80galIn,DHW,Basement,Temp_Water,The instantaneous temperature of the water entering the 80 gallon solar preheat tank,°C
DHW_WaterTempSHWTank80galOut,DHW,Basement,Temp_Water,The instantaneous temperature of the water leaving the 80 gallon solar preheat tank,°C
DHW_WaterTempWasherCold,DHW,Utility,Temp_Water,The instantaneous temperature of the water in the cold water line at the clothes washer,°C
DHW_WaterTempWasherHot,DHW,Utility,Temp_Water,The instantaneous temperature of the water in the hot water line at the clothes washer,°C
Elec_EnergyHeatPumpWH1of2,DHW,Basement,Energy_Electrical,Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater,Wh
Elec_EnergyHeatPumpWH2of2,DHW,Basement,Energy_Electrical,Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater,Wh
Elec_PowerHeatPumpWH1of2,DHW,Basement,Power_Electrical,Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater,W
