id,Name,Description
1,TIMESTAMP,Time 24-hr time and date of data record on logger
2,RECORD,Number sequntial data number on logger
3,Batt_Volt_Min,Volts Data logger battery level  on logger
4,C1Power,Watts Master bedroom lights master bedroom
5,C1Voltage,Volts Master bedroom lights master bedroom
6,C1Current,Amps Master bedroom lights master bedroom
7,C2Power,Watts Bath Receptacles main bathroom
8,C2Voltage,Volts Bath Receptacles main bathroom
9,C2Current,Amps Bath Receptacles main bathroom
10,C3Power,Watts 2nd Bedroom Lights (E & W) bedrooms
11,C3Voltage,Volts 2nd Bedroom Lights (E & W) bedroom
12,C3Current,Amps 2nd Bedroom Lights (E & W) bedrooms
13,C4Power,Watts Small Applicance (Kitchen) kitchen 
14,C4Voltage,Volts Small Applicance (Kitchen) kitchen 
15,C4Current,Amps Small Applicance (Kitchen) kitchen 
16,C5Power,Watts Master Bath Lights/Fan master bathroom
17,C5Voltage,Volts Master Bath Lights/Fan master bathroom
18,C5Current,Amps Master Bath Lights/Fan master bathroom
19,C6Power,Watts Small Applicance (Kitchen) kitchen island
20,C6Voltage,Volts Small Applicance (Kitchen) small applicance
21,C6Current,Amps Small Applicance (Kitchen) small applicance
22,C7Power,Watts Bath Lights/Fan bath lights
23,C7Voltage,Volts Bath Lights/Fan bath lights
24,C7Current,Amps Bath Lights/Fan bath lights
25,C8Power,Watts Refrigerator kitchen
26,C8Voltage,Volts Refrigerator kitchen
27,C8Current,Amps Refrigerator kitchen
28,C9Power,Watts Kitchen Lights kitchen
29,C9Voltage,Volts Kitchen Lights kitchen
30,C9Current,Amps Kitchen Lights kitchen
31,C10Power,Watts Dishwasher kitchen
32,C10Voltage,Volts Dishwasher kitchen
33,C10Current,Amps Dishwasher kitchen
34,C11Power,Watts Dining Room Lights dining room
35,C11Voltage,Volts Dining Room Lights dining room
36,C11Current,Amps Dining Room Lights dining room
37,C12Power,Watts Range Vent Fan kitchen
38,C12Voltage,Volts Range Vent Fan kitchen
39,C12Current,Amps Range Vent Fan kitchen
40,C13Power,Watts Living Room Lights living room
41,C13Voltage,Volts Living Room Lights living room
42,C13Current,Amps Living Room Lights living room
43,C14Power,Watts Master Bedroom Heater master bedroom
44,C14Voltage,Volts Master Bedroom Heater master bedroom
45,C14Current,Amps Master Bedroom Heater master bedroom
46,C15Power,Watts Hallway Lights hallway
47,C15Voltage,Volts Hallway Lights hallway
48,C15Current,Amps Hallway Lights hallway
49,C16Power,Watts East Bedroom Heater east bedroom
50,C16Voltage,Volts East Bedroom Heater east bedroom
51,C16Current,Amps East Bedroom Heater east bedroom
52,C17Power,Watts Utility Room Lights utility room
53,C17Voltage,Volts Utility Room Lights utility room
54,C17Current,Amps Utility Room Lights utility room
55,C18Power,Watts West Bedroom Heater west bedroom
56,C18Voltage,Volts West Bedroom Heater west bedroom
57,C18Current,Amps West Bedroom Heater west bedroom
58,C19Power,Watts Exterior Lights outside
59,C19Voltage,Volts Exterior Lights outside
60,C19Current,Amps Exterior Lights outside
61,C20Power,Watts Living Room/Hall Heater living room and hallway
62,C20Voltage,Volts Living Room/Hall Heater living room and hallway
63,C20Current,Amps Living Room/Hall Heater living room and hallway
64,C21Power,Watts S.E. Receptacles master bedroom
65,C21Voltage,Volts S.E. Receptacles master bedroom
66,C21Current,Amps S.E. Receptacles master bedroom
67,C22Power,Watts Dining Room/Kitchen Heater Dining room and kitchen
68,C22Voltage,Volts Dining Room/Kitchen Heater Dining room and kitchen
