,Data Label,Location,Description
0,PL1 (kW),,"Power, Lighting, Kitchen, Dining Dim Module1 w/Bed2Track"
1,PP9 (kW),,"Power, Plugs, Bedroom 2"
2,PA9 (kW),,"Power, Window Shades"
3,PP15 (kW),,"Power, Plugs, Master Bath"
4,PP11 (kW),,"Power, Lighting,Den/Mud Room/Mech. Room, Powder Room and Dim. Module2"
5,PP12 (kW),,"Power, Plugs, Study and Other 2nd Floor Outlets"
6,PP13 (kW),,"Power, Lighting, Living/Great Room"
7,PP14 (kW),,"Power, Plugs, Exterior Outlets"
8,PL2 (kW),,"Power, Lighting, Master Suite/Bath 2/Study and Dim. Module3"
9,PHPT1 (kW),,"Power, HVAC, Heat Pump Total Power Ph. B"
10,PBAC1 (kW),,"Power, Control System and Data Acquisition System"
11,PHPT2 (kW),,"Power, HVAC, Heat Pump Total Power Ph. A"
12,PL3 (kW),,"Power, Lighting, Portables"
13,PPHS (kW),,"Power, HVAC, Circulating Pump Power, Ph. A"
14,PL4 (kW),,"Power, Lighting, Exterior Lights (house & garage)"
15,PHPL (kW),,"Power, HVAC, Circulating Pump Power, Ph. B"
16,PA10 (kW),,"Power, Appliances, Powder Room hot water"
17,PA11B (kW),,"Power, Appliances, Greywater Ph.A&B"
18,PL5 (kW),,"Power, Lighting, Bed2 and Stairs"
19,PA11A (kW),,Electrical Panel Difference = (aux Power Meter) - (Sum of loads)
20,PNET (kW),,"Power, Site Net"
21,PVC (kW),,"Power, Visitor Center"
22,TMW1 (degF),,"Temp, Master Bed Wall, Drywall-Interior Surface"
23,TMW2 (degF),,"Temp, Master Bed Wall, Drywall (Radiant System SurfaceThermistor)"
24,TMW3 (degF),,"Temp, Master Bed Wall, Insulation Mid-Depth"
25,TMW4 (degF),,"Temp, Master Bed Wall, Insulation Exterior surface"
26,TMW5 (degF),,"Temp, Master Bed Wall, Supply Tube Surface (FastThermistor)"
27,TMW6 (degF),,"Temp, Master Bed Wall, Return Tube Surface (FastThermistor)"
28,TMC1 (degF),,"Temp, Master Bed Ceiling, Drywall-Interior Surface"
29,TMC2 (degF),,"Temp, Master Bed Ceiling, Drywall (Radiant System SurfaceThermistor)"
30,TMC3 (degF),,"Temp, Master Bed Ceiling, Insulation Mid-Depth"
31,TMC4 (degF),,"Temp, Master Bed Ceiling, Insulation Surface or Attic"
32,TMC5 (degF),,"Temp, Master Bed Ceiling, Supply Tube Surface(FastThermistor)"
33,TMC6 (degF),,"Temp, Master Bed Ceiling, Return Tube Surface(FastThermistor)"
34,TSC1 (degF),,"Temp, Study Ceiling, Drywall-Interior Surface"
35,TSC2 (degF),,"Temp, Study Ceiling, Drywall (Radiant System SurfaceThermistor)"
36,TSC3 (degF),,"Temp, Study Ceiling, Insulation Mid-Depth"
37,TSC4 (degF),,"Temp, Study Ceiling, Insulation Exterior Surface"
38,TSC5 (degF),,"Temp, Study Ceiling, Supply Tubing Surface (FastThermistor)"
39,TSC6 (degF),,"Temp, Study Ceiling, Return Tubing Surface(FastThermistor)"
40,TFCS (degF),,"Temp, Floor, Center of Great Room, Slab Surface"
41,TFCB (degF),,"Temp, Floor, Center of Great Room, Slab Bottom"
42,TFCI (degF),,"Temp, Floor, Center of Great Room, Insul Bottom"
43,TFES (degF),,"Temp, Floor, Edge of Great Room, Slab Surface"
44,TFEB (degF),,"Temp, Floor, Edge of Great Room, Slab Bottom"
45,TFEI (degF),,"Temp, Floor, Edge of Great Room, Insul Bottom"
46,TFCF (degF),,"Temp, Floor, Center of Foundation"
47,TFFI (degF),,"Temp, Floor, Foundation/Formsulate Interface"
48,TFFE (degF),,"Temp, Floor, Formsulate Exterior"
49,TNW1 (degF),,"Temp, Wall, North, 1 Inside Drywall"
50,TNW2 (degF),,"Temp, Wall, North, 2 Midpoint in wall"
51,TNW3 (degF),,"Temp, Wall, North, 3 Exterior wall (inside)"
52,TNW4 (degF),,"Temp, Wall, North, 4 (inner stud)"
53,TNW5 (degF),,"NOT USED - BAD SENSOR: Temp, Wall, North, 5 (outer stud)"
54,TSW1 (degF),,"NOT USED - BAD SENSOR: Temp, Wall, South, 1 Inside Drywall"
55,TSW2 (degF),,"Temp, Wall, South, 2 Midpoint in wall"
56,TSW3 (degF),,"Temp, Wall, South, 3 Exterior Wall (inside)"
57,TSW4 (degF),,"Temp, Wall, South, 4 inner stud"
58,TSW5 (degF),,"Temp, Wall, South, 5 outer stud"
59,TSPV (degF),,"Temp, Underside Surface of PV"
60,RHW1 (%),,"RH, Wall Cavity North"
61,RHW2 (%),,"RH, Wall Cavity South"
62,TLSS (degF),,"Temp, Heat Pump Source-Side Supply"
63,TLSR (degF),,"Temp, Heat Pump Source-Side Return"
64,TLLS (degF),,"Temp, Heat Pump Load-Side Supply"
65,TLLR (degF),,"Temp, Heat Pump Load-Side Return"
66,TLCPS (degF),,"Temp, 2nd Floor Ceiling Panel Supply"
67,TLCPR (degF),,"Temp, 2nd Floor Ceiling Panel Return"
68,TLFR (degF),,"Temp, Floor Loop Return"
69,TSSS (degF),,"Temp, Surface, HP, Source Supply"
70,TSSR (degF),,"Temp, Surface, HP, Source Return"
71,TD1SS (degF),,"Temp, Dry Bore1, Source Supply"
72,TD1SR (degF),,"Temp, Dry Bore1, Source Return"
73,TD2SS (degF),,"Temp, Dry Bore2, Source Supply"
74,TD2SR (degF),,"Temp, Dry Bore2, Source Return"
75,TD3SS (degF),,"Temp, Dry Bore3, Source Supply"
76,TD3SR (degF),,"Temp, Dry Bore3, Source Return"
77,TD4SS (degF),,"Temp, Dry Bore4, Source Supply"
78,TD4SR (degF),,"Temp, Dry Bore4, Source Return"
79,TW1SS (degF),,"Temp, Wet Bore1, Source Supply"
80,TW1SR (degF),,"Temp, Wet Bore1, Source Return"
81,TW1GS (degF),,"Temp, Wet Bore1, Greywater Supply"
82,TW1GR (degF),,"Temp, Wet Bore1, Greywater Return"
83,TW2SS (degF),,"Temp, Wet Bore2, Source Supply"
84,TW2SR (degF),,"Temp, Wet Bore2, Source Return"
85,TW2GS (degF),,"Temp, Wet Bore2, Greywater Supply"
86,TW2GR (degF),,"Temp, Wet Bore2, Greywater Return"
87,TW3SS (degF),,"Temp, Wet Bore3, Source Supply"
88,TW3SR (degF),,"Temp, Wet Bore3, Source Return"
89,TW3GS (degF),,"Temp, Wet Bore3, Greywater Supply"
90,TW3GR (degF),,"Temp, Wet Bore3, Greywater Return"
91,TW4SS (degF),,"Temp, Wet Bore4, Source Supply"
92,TW4SR (degF),,"Temp, Wet Bore4, Source Return"
93,TW4GS (degF),,"Temp, Wet Bore4, Greywater Supply"
94,TW4GR (degF),,"Temp, Wet Bore4, Greywater Return"
95,TLFS (degF),,"Temp, Floor Loop Supply"
96,TSMD1 (%Moist),,"NOT USED - BAD SENSOR: Moisture, Soil, Near Dry Bore, Vertical 1"
97,TSMD2 (%Moist),,"Moisture, Soil, Near Dry Bore, Vertical 2"
98,TSMW1 (%Moist),,"NOT USED - BAD SENSOR: Moisture, Soil, Near Wet Bores 3,4"
99,TSMW2 (%Moist),,"Moisture, Soil, Just Outside Wet Bore 3"
100,TD11 (degF),,"Temp, Soil, Dry Bore 1, Column 1 (inner most), Point 1 (top most)"
101,TD12 (degF),,"Temp, Soil, Dry Bore 1, Column 1, Point 2"
102,TD13 (degF),,"Temp, Soil, Dry Bore 1, Column 1, Point 3"
